acao;evento;timestamp;tabela;origem;destino;mascara;gateway
+R;0;0;6;145.236.0.1;127.0.0.0;8;<unspec>
+R;0;0;6;145.236.0.1;145.236.0.0;16;<unspec>
+R;0;0;7;145.236.0.2;127.0.0.0;8;<unspec>
+R;0;0;7;145.236.0.2;145.236.0.0;16;<unspec>
+R;0;0;8;145.236.0.3;127.0.0.0;8;<unspec>
+R;0;0;8;145.236.0.3;145.236.0.0;16;<unspec>
+R;0;0;9;145.236.0.4;127.0.0.0;8;<unspec>
+R;0;0;9;145.236.0.4;145.236.0.0;16;<unspec>
+R;0;0;10;145.236.0.5;127.0.0.0;8;<unspec>
+R;0;0;10;145.236.0.5;145.236.0.0;16;<unspec>
+R;0;0;11;145.236.0.6;127.0.0.0;8;<unspec>
+R;0;0;11;145.236.0.6;145.236.0.0;16;<unspec>
+R;0;0;12;145.236.0.7;127.0.0.0;8;<unspec>
+R;0;0;12;145.236.0.7;145.236.0.0;16;<unspec>
+R;0;0;13;145.236.0.8;127.0.0.0;8;<unspec>
+R;0;0;13;145.236.0.8;145.236.0.0;16;<unspec>
+R;0;0;14;145.236.0.9;127.0.0.0;8;<unspec>
+R;0;0;14;145.236.0.9;145.236.0.0;16;<unspec>
+R;0;0;15;145.236.0.10;127.0.0.0;8;<unspec>
+R;0;0;15;145.236.0.10;145.236.0.0;16;<unspec>
+R;0;0;16;145.236.0.11;127.0.0.0;8;<unspec>
+R;0;0;16;145.236.0.11;145.236.0.0;16;<unspec>
+R;0;0;17;145.236.0.12;127.0.0.0;8;<unspec>
+R;0;0;17;145.236.0.12;145.236.0.0;16;<unspec>
+R;0;0;18;145.236.0.13;127.0.0.0;8;<unspec>
+R;0;0;18;145.236.0.13;145.236.0.0;16;<unspec>
+R;0;0;19;145.236.0.14;127.0.0.0;8;<unspec>
+R;0;0;19;145.236.0.14;145.236.0.0;16;<unspec>
+R;0;0;20;145.236.0.15;127.0.0.0;8;<unspec>
+R;0;0;20;145.236.0.15;145.236.0.0;16;<unspec>
+R;0;0;21;145.236.0.16;127.0.0.0;8;<unspec>
+R;0;0;21;145.236.0.16;145.236.0.0;16;<unspec>
+R;0;0;22;145.236.0.17;127.0.0.0;8;<unspec>
+R;0;0;22;145.236.0.17;145.236.0.0;16;<unspec>
+R;0;0;23;145.236.0.18;127.0.0.0;8;<unspec>
+R;0;0;23;145.236.0.18;145.236.0.0;16;<unspec>
+R;0;0;24;145.236.0.19;127.0.0.0;8;<unspec>
+R;0;0;24;145.236.0.19;145.236.0.0;16;<unspec>
+R;0;0;25;145.236.0.20;127.0.0.0;8;<unspec>
+R;0;0;25;145.236.0.20;145.236.0.0;16;<unspec>
+R;691;3.198566255482;10;145.236.0.5;145.236.0.1;32;145.236.0.1
+R;696;3.198566806869;21;145.236.0.16;145.236.0.1;32;145.236.0.1
+R;761;3.202490225438;6;145.236.0.1;145.236.0.5;32;145.236.0.5
+R;766;3.202490771776;21;145.236.0.16;145.236.0.5;32;145.236.0.5
+R;813;3.203136705061;10;145.236.0.5;145.236.0.16;32;145.236.0.16
+R;818;3.203136710062;6;145.236.0.1;145.236.0.16;32;145.236.0.16
+R;823;3.203136756677;16;145.236.0.11;145.236.0.16;32;145.236.0.16
+R;823;3.203136756677;16;145.236.0.11;145.236.0.1;32;145.236.0.16
+R;828;3.203136959286;13;145.236.0.8;145.236.0.16;32;145.236.0.16
+R;828;3.203136959286;13;145.236.0.8;145.236.0.1;32;145.236.0.16
+R;1095;3.524156115687;11;145.236.0.6;145.236.0.8;32;145.236.0.8
+R;1095;3.524156115687;11;145.236.0.6;145.236.0.1;32;145.236.0.8
+R;1100;3.524156315472;12;145.236.0.7;145.236.0.8;32;145.236.0.8
+R;1100;3.524156315472;12;145.236.0.7;145.236.0.1;32;145.236.0.8
+R;1105;3.524156594226;8;145.236.0.3;145.236.0.8;32;145.236.0.8
+R;1105;3.524156594226;8;145.236.0.3;145.236.0.1;32;145.236.0.8
+R;1110;3.524156706841;21;145.236.0.16;145.236.0.8;32;145.236.0.8
+R;1179;3.5262742668;20;145.236.0.15;145.236.0.11;32;145.236.0.11
+R;1179;3.5262742668;20;145.236.0.15;145.236.0.1;32;145.236.0.11
+R;1184;3.526274309753;21;145.236.0.16;145.236.0.11;32;145.236.0.11
+R;1189;3.526274399731;18;145.236.0.13;145.236.0.11;32;145.236.0.11
+R;1189;3.526274399731;18;145.236.0.13;145.236.0.1;32;145.236.0.11
+R;1194;3.526274416377;17;145.236.0.12;145.236.0.11;32;145.236.0.11
+R;1194;3.526274416377;17;145.236.0.12;145.236.0.1;32;145.236.0.11
+R;1199;3.526274440954;24;145.236.0.19;145.236.0.11;32;145.236.0.11
+R;1199;3.526274440954;24;145.236.0.19;145.236.0.1;32;145.236.0.11
+R;1204;3.526274493044;25;145.236.0.20;145.236.0.11;32;145.236.0.11
+R;1204;3.526274493044;25;145.236.0.20;145.236.0.1;32;145.236.0.11
+R;1209;3.526274498927;9;145.236.0.4;145.236.0.11;32;145.236.0.11
+R;1209;3.526274498927;9;145.236.0.4;145.236.0.1;32;145.236.0.11
+R;1214;3.526274511772;12;145.236.0.7;145.236.0.11;32;145.236.0.11
+R;1233;3.526427150097;14;145.236.0.9;145.236.0.3;32;145.236.0.3
+R;1233;3.526427150097;14;145.236.0.9;145.236.0.1;32;145.236.0.3
+R;1238;3.526427201692;13;145.236.0.8;145.236.0.3;32;145.236.0.3
+R;1243;3.526427228322;11;145.236.0.6;145.236.0.3;32;145.236.0.3
+R;1287;3.526906422802;8;145.236.0.3;145.236.0.19;32;145.236.0.19
+R;1292;3.526906435413;17;145.236.0.12;145.236.0.19;32;145.236.0.19
+R;1297;3.526906528982;12;145.236.0.7;145.236.0.19;32;145.236.0.19
+R;1302;3.526906578376;22;145.236.0.17;145.236.0.19;32;145.236.0.19
+R;1302;3.526906578376;22;145.236.0.17;145.236.0.1;32;145.236.0.19
+R;1307;3.526906748584;15;145.236.0.10;145.236.0.19;32;145.236.0.19
+R;1307;3.526906748584;15;145.236.0.10;145.236.0.1;32;145.236.0.19
+R;1312;3.526906757686;16;145.236.0.11;145.236.0.19;32;145.236.0.19
+R;1317;3.526906821126;19;145.236.0.14;145.236.0.19;32;145.236.0.19
+R;1317;3.526906821126;19;145.236.0.14;145.236.0.1;32;145.236.0.19
+R;1383;3.527622154679;13;145.236.0.8;145.236.0.6;32;145.236.0.6
+R;1388;3.527622438761;12;145.236.0.7;145.236.0.6;32;145.236.0.6
+R;1393;3.52762265977;8;145.236.0.3;145.236.0.6;32;145.236.0.6
+R;1398;3.527622739077;14;145.236.0.9;145.236.0.6;32;145.236.0.6
+R;1445;3.527734290642;11;145.236.0.6;145.236.0.7;32;145.236.0.7
+R;1450;3.527734309214;24;145.236.0.19;145.236.0.7;32;145.236.0.7
+R;1456;3.527734608646;16;145.236.0.11;145.236.0.7;32;145.236.0.7
+R;1499;3.527985903833;18;145.236.0.13;145.236.0.4;32;145.236.0.4
+R;1504;3.527986102446;23;145.236.0.18;145.236.0.4;32;145.236.0.4
+R;1504;3.527986102446;23;145.236.0.18;145.236.0.1;32;145.236.0.4
+R;1509;3.527986180626;20;145.236.0.15;145.236.0.4;32;145.236.0.4
+R;1514;3.527986202044;7;145.236.0.2;145.236.0.4;32;145.236.0.4
+R;1514;3.527986202044;7;145.236.0.2;145.236.0.1;32;145.236.0.4
+R;1524;3.527986426179;17;145.236.0.12;145.236.0.4;32;145.236.0.4
+R;1529;3.527986521005;19;145.236.0.14;145.236.0.4;32;145.236.0.4
+R;1566;3.528110196191;9;145.236.0.4;145.236.0.13;32;145.236.0.13
+R;1575;3.528110783421;16;145.236.0.11;145.236.0.13;32;145.236.0.13
+R;1580;3.528110878498;25;145.236.0.20;145.236.0.13;32;145.236.0.13
+R;1657;3.52881048138;18;145.236.0.13;145.236.0.15;32;145.236.0.15
+R;1662;3.528810603042;9;145.236.0.4;145.236.0.15;32;145.236.0.15
+R;1667;3.528810740233;25;145.236.0.20;145.236.0.15;32;145.236.0.15
+R;1672;3.528810780647;16;145.236.0.11;145.236.0.15;32;145.236.0.15
+R;1677;3.528810911145;23;145.236.0.18;145.236.0.15;32;145.236.0.15
+R;1682;3.528811013261;7;145.236.0.2;145.236.0.15;32;145.236.0.15
+R;1687;3.528811022776;17;145.236.0.12;145.236.0.15;32;145.236.0.15
+R;1729;3.53108171079;24;145.236.0.19;145.236.0.12;32;145.236.0.12
+R;1734;3.531081750698;19;145.236.0.14;145.236.0.12;32;145.236.0.12
+R;1739;3.531081767982;15;145.236.0.10;145.236.0.12;32;145.236.0.12
+R;1744;3.531081778252;22;145.236.0.17;145.236.0.12;32;145.236.0.12
+R;1749;3.53108182212;23;145.236.0.18;145.236.0.12;32;145.236.0.12
+R;1754;3.531081851226;7;145.236.0.2;145.236.0.12;32;145.236.0.12
+R;1759;3.531081927314;9;145.236.0.4;145.236.0.12;32;145.236.0.12
+R;1764;3.53108194424;18;145.236.0.13;145.236.0.12;32;145.236.0.12
+R;1769;3.531082008692;16;145.236.0.11;145.236.0.12;32;145.236.0.12
+R;1774;3.531082101321;20;145.236.0.15;145.236.0.12;32;145.236.0.12
+R;1813;3.531441344358;20;145.236.0.15;145.236.0.20;32;145.236.0.20
+R;1818;3.531441611015;16;145.236.0.11;145.236.0.20;32;145.236.0.20
+R;1823;3.531441612582;18;145.236.0.13;145.236.0.20;32;145.236.0.20
*R;2347;4.006940241873;19;145.236.0.14;145.236.0.1;32;145.236.0.12
*R;2352;4.006940264643;15;145.236.0.10;145.236.0.1;32;145.236.0.12
*R;2357;4.006940268078;22;145.236.0.17;145.236.0.1;32;145.236.0.12
*R;2362;4.00694031704;23;145.236.0.18;145.236.0.1;32;145.236.0.12
*R;2367;4.0069403569;7;145.236.0.2;145.236.0.1;32;145.236.0.12
+R;2473;4.007132619976;12;145.236.0.7;145.236.0.3;32;145.236.0.3
+R;2568;4.007389722075;7;145.236.0.2;145.236.0.14;32;145.236.0.14
+R;2575;4.007389801057;17;145.236.0.12;145.236.0.14;32;145.236.0.14
+R;2581;4.007390125701;24;145.236.0.19;145.236.0.14;32;145.236.0.14
+R;2684;4.00800862234;8;145.236.0.3;145.236.0.7;32;145.236.0.7
+R;2689;4.008008714064;13;145.236.0.8;145.236.0.7;32;145.236.0.7
+R;2704;4.008009102939;14;145.236.0.9;145.236.0.7;32;145.236.0.7
+R;2792;4.009129633757;19;145.236.0.14;145.236.0.10;32;145.236.0.10
+R;2797;4.009129770236;22;145.236.0.17;145.236.0.10;32;145.236.0.10
+R;2802;4.009129962308;17;145.236.0.12;145.236.0.10;32;145.236.0.10
+R;2807;4.009130021292;7;145.236.0.2;145.236.0.10;32;145.236.0.10
+R;2812;4.009130068296;23;145.236.0.18;145.236.0.10;32;145.236.0.10
+R;2817;4.009130209714;24;145.236.0.19;145.236.0.10;32;145.236.0.10
+R;2922;4.010765233839;20;145.236.0.15;145.236.0.13;32;145.236.0.13
+R;2927;4.010765427284;23;145.236.0.18;145.236.0.13;32;145.236.0.13
+R;2932;4.010765525127;7;145.236.0.2;145.236.0.13;32;145.236.0.13
+R;2937;4.010765662108;17;145.236.0.12;145.236.0.13;32;145.236.0.13
+R;3085;4.01137237348;8;145.236.0.3;145.236.0.9;32;145.236.0.9
+R;3090;4.011372529318;12;145.236.0.7;145.236.0.9;32;145.236.0.9
+R;3095;4.011372546427;11;145.236.0.6;145.236.0.9;32;145.236.0.9
+R;3117;4.011451665317;15;145.236.0.10;145.236.0.17;32;145.236.0.17
+R;3122;4.011451807687;19;145.236.0.14;145.236.0.17;32;145.236.0.17
+R;3128;4.011451918046;24;145.236.0.19;145.236.0.17;32;145.236.0.17
