acao;evento;timestamp;tabela;origem;destino;mascara;gateway
+R;0;0;6;145.236.0.1;127.0.0.0;8;<unspec>
+R;0;0;6;145.236.0.1;145.236.0.0;16;<unspec>
+R;0;0;7;145.236.0.2;127.0.0.0;8;<unspec>
+R;0;0;7;145.236.0.2;145.236.0.0;16;<unspec>
+R;0;0;8;145.236.0.3;127.0.0.0;8;<unspec>
+R;0;0;8;145.236.0.3;145.236.0.0;16;<unspec>
+R;0;0;9;145.236.0.4;127.0.0.0;8;<unspec>
+R;0;0;9;145.236.0.4;145.236.0.0;16;<unspec>
+R;0;0;10;145.236.0.5;127.0.0.0;8;<unspec>
+R;0;0;10;145.236.0.5;145.236.0.0;16;<unspec>
+R;0;0;11;145.236.0.6;127.0.0.0;8;<unspec>
+R;0;0;11;145.236.0.6;145.236.0.0;16;<unspec>
+R;0;0;12;145.236.0.7;127.0.0.0;8;<unspec>
+R;0;0;12;145.236.0.7;145.236.0.0;16;<unspec>
+R;0;0;13;145.236.0.8;127.0.0.0;8;<unspec>
+R;0;0;13;145.236.0.8;145.236.0.0;16;<unspec>
+R;0;0;14;145.236.0.9;127.0.0.0;8;<unspec>
+R;0;0;14;145.236.0.9;145.236.0.0;16;<unspec>
+R;0;0;15;145.236.0.10;127.0.0.0;8;<unspec>
+R;0;0;15;145.236.0.10;145.236.0.0;16;<unspec>
+R;0;0;16;145.236.0.11;127.0.0.0;8;<unspec>
+R;0;0;16;145.236.0.11;145.236.0.0;16;<unspec>
+R;0;0;17;145.236.0.12;127.0.0.0;8;<unspec>
+R;0;0;17;145.236.0.12;145.236.0.0;16;<unspec>
+R;0;0;18;145.236.0.13;127.0.0.0;8;<unspec>
+R;0;0;18;145.236.0.13;145.236.0.0;16;<unspec>
+R;0;0;19;145.236.0.14;127.0.0.0;8;<unspec>
+R;0;0;19;145.236.0.14;145.236.0.0;16;<unspec>
+R;0;0;20;145.236.0.15;127.0.0.0;8;<unspec>
+R;0;0;20;145.236.0.15;145.236.0.0;16;<unspec>
+R;0;0;21;145.236.0.16;127.0.0.0;8;<unspec>
+R;0;0;21;145.236.0.16;145.236.0.0;16;<unspec>
+R;0;0;22;145.236.0.17;127.0.0.0;8;<unspec>
+R;0;0;22;145.236.0.17;145.236.0.0;16;<unspec>
+R;0;0;23;145.236.0.18;127.0.0.0;8;<unspec>
+R;0;0;23;145.236.0.18;145.236.0.0;16;<unspec>
+R;0;0;24;145.236.0.19;127.0.0.0;8;<unspec>
+R;0;0;24;145.236.0.19;145.236.0.0;16;<unspec>
+R;0;0;25;145.236.0.20;127.0.0.0;8;<unspec>
+R;0;0;25;145.236.0.20;145.236.0.0;16;<unspec>
+R;691;3.198566382685;21;145.236.0.16;145.236.0.1;32;145.236.0.1
+R;696;3.19856682346;17;145.236.0.12;145.236.0.1;32;145.236.0.1
+R;701;3.19856698948;22;145.236.0.17;145.236.0.1;32;145.236.0.1
+R;706;3.198567038706;11;145.236.0.6;145.236.0.1;32;145.236.0.1
+R;769;3.201928992841;15;145.236.0.10;145.236.0.17;32;145.236.0.17
+R;769;3.201928992841;15;145.236.0.10;145.236.0.1;32;145.236.0.17
+R;774;3.201929063674;24;145.236.0.19;145.236.0.17;32;145.236.0.17
+R;774;3.201929063674;24;145.236.0.19;145.236.0.1;32;145.236.0.17
+R;779;3.201929116744;13;145.236.0.8;145.236.0.17;32;145.236.0.17
+R;779;3.201929116744;13;145.236.0.8;145.236.0.1;32;145.236.0.17
+R;784;3.201929210526;14;145.236.0.9;145.236.0.17;32;145.236.0.17
+R;784;3.201929210526;14;145.236.0.9;145.236.0.1;32;145.236.0.17
+R;789;3.201929294482;17;145.236.0.12;145.236.0.17;32;145.236.0.17
+R;794;3.201929431136;8;145.236.0.3;145.236.0.17;32;145.236.0.17
+R;794;3.201929431136;8;145.236.0.3;145.236.0.1;32;145.236.0.17
+R;799;3.201929497869;7;145.236.0.2;145.236.0.17;32;145.236.0.17
+R;799;3.201929497869;7;145.236.0.2;145.236.0.1;32;145.236.0.17
+R;808;3.201929563473;6;145.236.0.1;145.236.0.17;32;145.236.0.17
+R;813;3.201929571492;21;145.236.0.16;145.236.0.17;32;145.236.0.17
+R;818;3.201929576888;19;145.236.0.14;145.236.0.17;32;145.236.0.17
+R;818;3.201929576888;19;145.236.0.14;145.236.0.1;32;145.236.0.17
+R;823;3.201929584649;12;145.236.0.7;145.236.0.17;32;145.236.0.17
+R;823;3.201929584649;12;145.236.0.7;145.236.0.1;32;145.236.0.17
+R;828;3.201929614247;11;145.236.0.6;145.236.0.17;32;145.236.0.17
+R;833;3.201929614522;9;145.236.0.4;145.236.0.17;32;145.236.0.17
+R;833;3.201929614522;9;145.236.0.4;145.236.0.1;32;145.236.0.17
+R;991;3.202490479817;6;145.236.0.1;145.236.0.16;32;145.236.0.16
+R;996;3.202491003041;11;145.236.0.6;145.236.0.16;32;145.236.0.16
+R;1003;3.202491121526;13;145.236.0.8;145.236.0.16;32;145.236.0.16
+R;1029;3.202767572435;22;145.236.0.17;145.236.0.2;32;145.236.0.2
+R;1099;3.2031364944;14;145.236.0.9;145.236.0.12;32;145.236.0.12
+R;1104;3.203136568502;7;145.236.0.2;145.236.0.12;32;145.236.0.12
+R;1109;3.20313664033;22;145.236.0.17;145.236.0.12;32;145.236.0.12
+R;1114;3.203136743367;6;145.236.0.1;145.236.0.12;32;145.236.0.12
+R;1119;3.203136811439;15;145.236.0.10;145.236.0.12;32;145.236.0.12
+R;1124;3.203136845211;21;145.236.0.16;145.236.0.12;32;145.236.0.12
+R;1129;3.203136897644;24;145.236.0.19;145.236.0.12;32;145.236.0.12
+R;1134;3.203136917693;13;145.236.0.8;145.236.0.12;32;145.236.0.12
+R;1151;3.203205034463;12;145.236.0.7;145.236.0.6;32;145.236.0.6
+R;1156;3.203205281116;9;145.236.0.4;145.236.0.6;32;145.236.0.6
+R;1330;3.206330259592;6;145.236.0.1;145.236.0.2;32;145.236.0.17
-R;6613;15.201928992841;15;145.236.0.10;145.236.0.17;32;145.236.0.17
-R;6614;15.201929063674;24;145.236.0.19;145.236.0.17;32;145.236.0.17
-R;6615;15.201929116744;13;145.236.0.8;145.236.0.17;32;145.236.0.17
-R;6616;15.201929210526;14;145.236.0.9;145.236.0.17;32;145.236.0.17
-R;6617;15.201929294482;17;145.236.0.12;145.236.0.17;32;145.236.0.17
-R;6618;15.201929431136;8;145.236.0.3;145.236.0.17;32;145.236.0.17
-R;6619;15.201929571492;21;145.236.0.16;145.236.0.17;32;145.236.0.17
-R;6620;15.201929576888;19;145.236.0.14;145.236.0.17;32;145.236.0.17
-R;6621;15.201929584649;12;145.236.0.7;145.236.0.17;32;145.236.0.17
-R;6622;15.201929614247;11;145.236.0.6;145.236.0.17;32;145.236.0.17
-R;6623;15.201929614522;9;145.236.0.4;145.236.0.17;32;145.236.0.17
-R;6625;15.202490479817;6;145.236.0.1;145.236.0.16;32;145.236.0.16
-R;6626;15.202491003041;11;145.236.0.6;145.236.0.16;32;145.236.0.16
-R;6627;15.202491121526;13;145.236.0.8;145.236.0.16;32;145.236.0.16
-R;6628;15.2031364944;14;145.236.0.9;145.236.0.12;32;145.236.0.12
-R;6629;15.203136568502;7;145.236.0.2;145.236.0.12;32;145.236.0.12
-R;6630;15.20313664033;22;145.236.0.17;145.236.0.12;32;145.236.0.12
-R;6631;15.203136743367;6;145.236.0.1;145.236.0.12;32;145.236.0.12
-R;6632;15.203136811439;15;145.236.0.10;145.236.0.12;32;145.236.0.12
-R;6633;15.203136845211;21;145.236.0.16;145.236.0.12;32;145.236.0.12
-R;6634;15.203136897644;24;145.236.0.19;145.236.0.12;32;145.236.0.12
-R;6635;15.203136917693;13;145.236.0.8;145.236.0.12;32;145.236.0.12
-R;6636;15.203205034463;12;145.236.0.7;145.236.0.6;32;145.236.0.6
-R;6637;15.203205281116;9;145.236.0.4;145.236.0.6;32;145.236.0.6
-R;7987;18.641928992841;15;145.236.0.10;145.236.0.1;32;145.236.0.17
-R;7988;18.641929063674;24;145.236.0.19;145.236.0.1;32;145.236.0.17
-R;7989;18.641929116744;13;145.236.0.8;145.236.0.1;32;145.236.0.17
-R;7990;18.641929210526;14;145.236.0.9;145.236.0.1;32;145.236.0.17
-R;7991;18.641929431136;8;145.236.0.3;145.236.0.1;32;145.236.0.17
-R;7992;18.641929576888;19;145.236.0.14;145.236.0.1;32;145.236.0.17
-R;7993;18.641929584649;12;145.236.0.7;145.236.0.1;32;145.236.0.17
-R;7994;18.641929614522;9;145.236.0.4;145.236.0.1;32;145.236.0.17
-R;8009;18.718566382685;21;145.236.0.16;145.236.0.1;32;145.236.0.1
-R;8010;18.71856682346;17;145.236.0.12;145.236.0.1;32;145.236.0.1
-R;8011;18.718567038706;11;145.236.0.6;145.236.0.1;32;145.236.0.1
+R;10168;24.197720667422;14;145.236.0.9;145.236.0.1;32;145.236.0.1
+R;10173;24.19772067889;21;145.236.0.16;145.236.0.1;32;145.236.0.1
+R;10178;24.197720821156;13;145.236.0.8;145.236.0.1;32;145.236.0.1
+R;10183;24.197720936865;17;145.236.0.12;145.236.0.1;32;145.236.0.1
+R;10188;24.19772097961;15;145.236.0.10;145.236.0.1;32;145.236.0.1
+R;10193;24.197720988682;11;145.236.0.6;145.236.0.1;32;145.236.0.1
+R;10236;24.199556665916;11;145.236.0.6;145.236.0.10;32;145.236.0.10
+R;10241;24.19955706081;12;145.236.0.7;145.236.0.10;32;145.236.0.10
+R;10241;24.19955706081;12;145.236.0.7;145.236.0.1;32;145.236.0.10
+R;10246;24.199557085677;8;145.236.0.3;145.236.0.10;32;145.236.0.10
+R;10246;24.199557085677;8;145.236.0.3;145.236.0.1;32;145.236.0.10
+R;10251;24.19955713521;13;145.236.0.8;145.236.0.10;32;145.236.0.10
+R;10256;24.199557163229;9;145.236.0.4;145.236.0.10;32;145.236.0.10
+R;10256;24.199557163229;9;145.236.0.4;145.236.0.1;32;145.236.0.10
+R;10261;24.19955732316;14;145.236.0.9;145.236.0.10;32;145.236.0.10
+R;10266;24.199557328753;21;145.236.0.16;145.236.0.10;32;145.236.0.10
+R;10271;24.199557349013;6;145.236.0.1;145.236.0.10;32;145.236.0.10
+R;10276;24.199557424733;17;145.236.0.12;145.236.0.10;32;145.236.0.10
+R;10340;24.199990986082;21;145.236.0.16;145.236.0.8;32;145.236.0.8
+R;10345;24.199990987376;14;145.236.0.9;145.236.0.8;32;145.236.0.8
+R;10350;24.199991020103;17;145.236.0.12;145.236.0.8;32;145.236.0.8
+R;10355;24.19999114941;8;145.236.0.3;145.236.0.8;32;145.236.0.8
+R;10360;24.199991182475;22;145.236.0.17;145.236.0.8;32;145.236.0.8
*R;10360;24.199991182475;22;145.236.0.17;145.236.0.1;32;145.236.0.8
*R;10360;24.199991182475;22;145.236.0.17;145.236.0.1;32;145.236.0.8
+R;10365;24.19999121071;11;145.236.0.6;145.236.0.8;32;145.236.0.8
+R;10370;24.199991212283;15;145.236.0.10;145.236.0.8;32;145.236.0.8
+R;10375;24.199991267686;6;145.236.0.1;145.236.0.8;32;145.236.0.8
+R;10380;24.199991287225;18;145.236.0.13;145.236.0.8;32;145.236.0.8
+R;10380;24.199991287225;18;145.236.0.13;145.236.0.1;32;145.236.0.8
+R;10385;24.199991364773;7;145.236.0.2;145.236.0.8;32;145.236.0.8
*R;10385;24.199991364773;7;145.236.0.2;145.236.0.1;32;145.236.0.8
+R;10394;24.19999143746;9;145.236.0.4;145.236.0.8;32;145.236.0.8
+R;10400;24.199991555931;24;145.236.0.19;145.236.0.8;32;145.236.0.8
+R;10400;24.199991555931;24;145.236.0.19;145.236.0.1;32;145.236.0.8
