acao;evento;timestamp;tabela;origem;destino;mascara;gateway;interface
+R;0;0;AODVNetwork.host[0];145.236.0.1;127.0.0.0;8;<unspec>;lo0
+R;0;0;AODVNetwork.host[0];145.236.0.1;145.236.0.0;16;<unspec>;wlan0
+R;0;0;AODVNetwork.host[1];145.236.0.2;127.0.0.0;8;<unspec>;lo0
+R;0;0;AODVNetwork.host[1];145.236.0.2;145.236.0.0;16;<unspec>;wlan0
+R;0;0;AODVNetwork.host[2];145.236.0.3;127.0.0.0;8;<unspec>;lo0
+R;0;0;AODVNetwork.host[2];145.236.0.3;145.236.0.0;16;<unspec>;wlan0
+R;0;0;AODVNetwork.host[3];145.236.0.4;127.0.0.0;8;<unspec>;lo0
+R;0;0;AODVNetwork.host[3];145.236.0.4;145.236.0.0;16;<unspec>;wlan0
+R;0;0;AODVNetwork.host[4];145.236.0.5;127.0.0.0;8;<unspec>;lo0
+R;0;0;AODVNetwork.host[4];145.236.0.5;145.236.0.0;16;<unspec>;wlan0
+R;0;0;AODVNetwork.host[5];145.236.0.6;127.0.0.0;8;<unspec>;lo0
+R;0;0;AODVNetwork.host[5];145.236.0.6;145.236.0.0;16;<unspec>;wlan0
+R;0;0;AODVNetwork.host[6];145.236.0.7;127.0.0.0;8;<unspec>;lo0
+R;0;0;AODVNetwork.host[6];145.236.0.7;145.236.0.0;16;<unspec>;wlan0
+R;0;0;AODVNetwork.host[7];145.236.0.8;127.0.0.0;8;<unspec>;lo0
+R;0;0;AODVNetwork.host[7];145.236.0.8;145.236.0.0;16;<unspec>;wlan0
+R;0;0;AODVNetwork.host[8];145.236.0.9;127.0.0.0;8;<unspec>;lo0
+R;0;0;AODVNetwork.host[8];145.236.0.9;145.236.0.0;16;<unspec>;wlan0
+R;0;0;AODVNetwork.host[9];145.236.0.10;127.0.0.0;8;<unspec>;lo0
+R;0;0;AODVNetwork.host[9];145.236.0.10;145.236.0.0;16;<unspec>;wlan0
+R;0;0;AODVNetwork.host[10];145.236.0.11;127.0.0.0;8;<unspec>;lo0
+R;0;0;AODVNetwork.host[10];145.236.0.11;145.236.0.0;16;<unspec>;wlan0
+R;0;0;AODVNetwork.host[11];145.236.0.12;127.0.0.0;8;<unspec>;lo0
+R;0;0;AODVNetwork.host[11];145.236.0.12;145.236.0.0;16;<unspec>;wlan0
+R;0;0;AODVNetwork.host[12];145.236.0.13;127.0.0.0;8;<unspec>;lo0
+R;0;0;AODVNetwork.host[12];145.236.0.13;145.236.0.0;16;<unspec>;wlan0
+R;0;0;AODVNetwork.host[13];145.236.0.14;127.0.0.0;8;<unspec>;lo0
+R;0;0;AODVNetwork.host[13];145.236.0.14;145.236.0.0;16;<unspec>;wlan0
+R;0;0;AODVNetwork.host[14];145.236.0.15;127.0.0.0;8;<unspec>;lo0
+R;0;0;AODVNetwork.host[14];145.236.0.15;145.236.0.0;16;<unspec>;wlan0
+R;0;0;AODVNetwork.host[15];145.236.0.16;127.0.0.0;8;<unspec>;lo0
+R;0;0;AODVNetwork.host[15];145.236.0.16;145.236.0.0;16;<unspec>;wlan0
+R;0;0;AODVNetwork.host[16];145.236.0.17;127.0.0.0;8;<unspec>;lo0
+R;0;0;AODVNetwork.host[16];145.236.0.17;145.236.0.0;16;<unspec>;wlan0
+R;0;0;AODVNetwork.host[17];145.236.0.18;127.0.0.0;8;<unspec>;lo0
+R;0;0;AODVNetwork.host[17];145.236.0.18;145.236.0.0;16;<unspec>;wlan0
+R;0;0;AODVNetwork.host[18];145.236.0.19;127.0.0.0;8;<unspec>;lo0
+R;0;0;AODVNetwork.host[18];145.236.0.19;145.236.0.0;16;<unspec>;wlan0
+R;0;0;AODVNetwork.host[19];145.236.0.20;127.0.0.0;8;<unspec>;lo0
+R;0;0;AODVNetwork.host[19];145.236.0.20;145.236.0.0;16;<unspec>;wlan0
+R;691;3.198566255482;AODVNetwork.host[4];145.236.0.5;145.236.0.1;32;145.236.0.1;wlan0
+R;696;3.198566806869;AODVNetwork.host[15];145.236.0.16;145.236.0.1;32;145.236.0.1;wlan0
+R;761;3.202490225438;AODVNetwork.host[0];145.236.0.1;145.236.0.5;32;145.236.0.5;wlan0
+R;766;3.202490771776;AODVNetwork.host[15];145.236.0.16;145.236.0.5;32;145.236.0.5;wlan0
+R;813;3.203136705061;AODVNetwork.host[4];145.236.0.5;145.236.0.16;32;145.236.0.16;wlan0
+R;818;3.203136710062;AODVNetwork.host[0];145.236.0.1;145.236.0.16;32;145.236.0.16;wlan0
+R;823;3.203136756677;AODVNetwork.host[10];145.236.0.11;145.236.0.16;32;145.236.0.16;wlan0
+R;823;3.203136756677;AODVNetwork.host[10];145.236.0.11;145.236.0.1;32;145.236.0.16;wlan0
+R;828;3.203136959286;AODVNetwork.host[7];145.236.0.8;145.236.0.16;32;145.236.0.16;wlan0
+R;828;3.203136959286;AODVNetwork.host[7];145.236.0.8;145.236.0.1;32;145.236.0.16;wlan0
+R;1095;3.524156115687;AODVNetwork.host[5];145.236.0.6;145.236.0.8;32;145.236.0.8;wlan0
+R;1095;3.524156115687;AODVNetwork.host[5];145.236.0.6;145.236.0.1;32;145.236.0.8;wlan0
+R;1100;3.524156315472;AODVNetwork.host[6];145.236.0.7;145.236.0.8;32;145.236.0.8;wlan0
+R;1100;3.524156315472;AODVNetwork.host[6];145.236.0.7;145.236.0.1;32;145.236.0.8;wlan0
+R;1105;3.524156594226;AODVNetwork.host[2];145.236.0.3;145.236.0.8;32;145.236.0.8;wlan0
+R;1105;3.524156594226;AODVNetwork.host[2];145.236.0.3;145.236.0.1;32;145.236.0.8;wlan0
+R;1110;3.524156706841;AODVNetwork.host[15];145.236.0.16;145.236.0.8;32;145.236.0.8;wlan0
+R;1179;3.5262742668;AODVNetwork.host[14];145.236.0.15;145.236.0.11;32;145.236.0.11;wlan0
+R;1179;3.5262742668;AODVNetwork.host[14];145.236.0.15;145.236.0.1;32;145.236.0.11;wlan0
+R;1184;3.526274309753;AODVNetwork.host[15];145.236.0.16;145.236.0.11;32;145.236.0.11;wlan0
+R;1189;3.526274399731;AODVNetwork.host[12];145.236.0.13;145.236.0.11;32;145.236.0.11;wlan0
+R;1189;3.526274399731;AODVNetwork.host[12];145.236.0.13;145.236.0.1;32;145.236.0.11;wlan0
+R;1194;3.526274416377;AODVNetwork.host[11];145.236.0.12;145.236.0.11;32;145.236.0.11;wlan0
+R;1194;3.526274416377;AODVNetwork.host[11];145.236.0.12;145.236.0.1;32;145.236.0.11;wlan0
+R;1199;3.526274440954;AODVNetwork.host[18];145.236.0.19;145.236.0.11;32;145.236.0.11;wlan0
+R;1199;3.526274440954;AODVNetwork.host[18];145.236.0.19;145.236.0.1;32;145.236.0.11;wlan0
+R;1204;3.526274493044;AODVNetwork.host[19];145.236.0.20;145.236.0.11;32;145.236.0.11;wlan0
+R;1204;3.526274493044;AODVNetwork.host[19];145.236.0.20;145.236.0.1;32;145.236.0.11;wlan0
+R;1209;3.526274498927;AODVNetwork.host[3];145.236.0.4;145.236.0.11;32;145.236.0.11;wlan0
+R;1209;3.526274498927;AODVNetwork.host[3];145.236.0.4;145.236.0.1;32;145.236.0.11;wlan0
+R;1214;3.526274511772;AODVNetwork.host[6];145.236.0.7;145.236.0.11;32;145.236.0.11;wlan0
+R;1233;3.526427150097;AODVNetwork.host[8];145.236.0.9;145.236.0.3;32;145.236.0.3;wlan0
+R;1233;3.526427150097;AODVNetwork.host[8];145.236.0.9;145.236.0.1;32;145.236.0.3;wlan0
