run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues
Ping1-0-20210506-16:45:47-8914,runattr,,,configname,Ping1,,,,,,,,,
Ping1-0-20210506-16:45:47-8914,runattr,,,datetime,20210506-16:45:47,,,,,,,,,
Ping1-0-20210506-16:45:47-8914,runattr,,,experiment,Ping1,,,,,,,,,
Ping1-0-20210506-16:45:47-8914,runattr,,,inifile,omnetpp.ini,,,,,,,,,
Ping1-0-20210506-16:45:47-8914,runattr,,,iterationvars,,,,,,,,,,
Ping1-0-20210506-16:45:47-8914,runattr,,,iterationvarsf,,,,,,,,,,
Ping1-0-20210506-16:45:47-8914,runattr,,,measurement,,,,,,,,,,
Ping1-0-20210506-16:45:47-8914,runattr,,,network,Net,,,,,,,,,
Ping1-0-20210506-16:45:47-8914,runattr,,,processid,8914,,,,,,,,,
Ping1-0-20210506-16:45:47-8914,runattr,,,repetition,0,,,,,,,,,
Ping1-0-20210506-16:45:47-8914,runattr,,,replication,#0,,,,,,,,,
Ping1-0-20210506-16:45:47-8914,runattr,,,resultdir,results,,,,,,,,,
Ping1-0-20210506-16:45:47-8914,runattr,,,runnumber,0,,,,,,,,,
Ping1-0-20210506-16:45:47-8914,runattr,,,seedset,0,,,,,,,,,
Ping1-0-20210506-16:45:47-8914,param,,,*.numHosts,2,,,,,,,,,
Ping1-0-20210506-16:45:47-8914,param,,,*.host[0].wlan[*].radio.transmitter.communicationRange,250m,,,,,,,,,
Ping1-0-20210506-16:45:47-8914,param,,,*.host[1].wlan[*].radio.transmitter.communicationRange,300m,,,,,,,,,
Ping1-0-20210506-16:45:47-8914,param,,,**.constraintAreaMinX,0m,,,,,,,,,
Ping1-0-20210506-16:45:47-8914,param,,,**.constraintAreaMinY,0m,,,,,,,,,
Ping1-0-20210506-16:45:47-8914,param,,,**.constraintAreaMinZ,0m,,,,,,,,,
Ping1-0-20210506-16:45:47-8914,param,,,**.constraintAreaMaxX,600m,,,,,,,,,
Ping1-0-20210506-16:45:47-8914,param,,,**.constraintAreaMaxY,400m,,,,,,,,,
Ping1-0-20210506-16:45:47-8914,param,,,**.constraintAreaMaxZ,0m,,,,,,,,,
Ping1-0-20210506-16:45:47-8914,param,,,**.host*.mobility.typename,"""MassMobility""",,,,,,,,,
