run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues
General-0-20210506-16:15:18-7390,runattr,,,configname,General,,,,,,,,,
General-0-20210506-16:15:18-7390,runattr,,,datetime,20210506-16:15:18,,,,,,,,,
General-0-20210506-16:15:18-7390,runattr,,,experiment,General,,,,,,,,,
General-0-20210506-16:15:18-7390,runattr,,,inifile,omnetpp.ini,,,,,,,,,
General-0-20210506-16:15:18-7390,runattr,,,iterationvars,,,,,,,,,,
General-0-20210506-16:15:18-7390,runattr,,,iterationvarsf,,,,,,,,,,
General-0-20210506-16:15:18-7390,runattr,,,measurement,,,,,,,,,,
General-0-20210506-16:15:18-7390,runattr,,,network,MulticastNetwork,,,,,,,,,
General-0-20210506-16:15:18-7390,runattr,,,processid,7390,,,,,,,,,
General-0-20210506-16:15:18-7390,runattr,,,repetition,0,,,,,,,,,
General-0-20210506-16:15:18-7390,runattr,,,replication,#0,,,,,,,,,
General-0-20210506-16:15:18-7390,runattr,,,resultdir,results,,,,,,,,,
General-0-20210506-16:15:18-7390,runattr,,,runnumber,0,,,,,,,,,
General-0-20210506-16:15:18-7390,runattr,,,seedset,0,,,,,,,,,
General-0-20210506-16:15:18-7390,param,,,**.configurator.config,"xmldoc(""config.xml"")",,,,,,,,,
General-0-20210506-16:15:18-7390,param,,,**.configurator.assignDisjunctSubnetAddresses,false,,,,,,,,,
General-0-20210506-16:15:18-7390,param,,,**.configurator.addStaticRoutes,false,,,,,,,,,
General-0-20210506-16:15:18-7390,param,,,**.configurator.addSubnetRoutes,false,,,,,,,,,
General-0-20210506-16:15:18-7390,param,,,**.configurator.addDefaultRoutes,false,,,,,,,,,
General-0-20210506-16:15:18-7390,param,,,**.configurator.optimizeRoutes,false,,,,,,,,,
General-0-20210506-16:15:18-7390,param,,,**.configurator.dumpAddresses,true,,,,,,,,,
General-0-20210506-16:15:18-7390,param,,,**.configurator.dumpRoutes,true,,,,,,,,,
General-0-20210506-16:15:18-7390,param,,,**.host*.numApps,1,,,,,,,,,
General-0-20210506-16:15:18-7390,param,,,**.app[*].typename,"""UdpBasicApp""",,,,,,,,,
General-0-20210506-16:15:18-7390,param,,,**.app[0].localPort,100,,,,,,,,,
General-0-20210506-16:15:18-7390,param,,,**.app[0].destPort,100,,,,,,,,,
General-0-20210506-16:15:18-7390,param,,,**.app[0].messageLength,1250 bytes,,,,,,,,,
General-0-20210506-16:15:18-7390,param,,,**.app[0].sendInterval,0.9s,,,,,,,,,
General-0-20210506-16:15:18-7390,param,,,**.app[0].destAddresses,"""172.0.0.1 172.0.0.2 172.0.0.3 172.0.1.1 172.0.2.2       225.0.0.1 225.0.0.2 225.0.0.3 225.0.1.1 225.0.1.2 225.0.2.1""",,,,,,,,,
General-0-20210506-16:15:18-7390,param,,,**.app[0].joinLocalMulticastGroups,true,,,,,,,,,
General-0-20210506-16:15:18-7390,param,,,**.ppp[*].ppp.queue.typename,"""DropTailQueue""",,,,,,,,,
General-0-20210506-16:15:18-7390,param,,,**.ppp[*].ppp.queue.packetCapacity,10,,,,,,,,,
General-0-20210506-16:15:18-7390,scalar,MulticastNetwork.host1.lo[0].lo,rcvdPkFromHl:count,,,3505,,,,,,,,
General-0-20210506-16:15:18-7390,attr,MulticastNetwork.host1.lo[0].lo,rcvdPkFromHl:count,interpolationmode,none,,,,,,,,,
General-0-20210506-16:15:18-7390,attr,MulticastNetwork.host1.lo[0].lo,rcvdPkFromHl:count,source,packetReceivedFromUpper,,,,,,,,,
General-0-20210506-16:15:18-7390,attr,MulticastNetwork.host1.lo[0].lo,rcvdPkFromHl:count,title,"packets received from higher layer, count",,,,,,,,,
General-0-20210506-16:15:18-7390,scalar,MulticastNetwork.host1.lo[0].lo,rcvdPkFromHl:sum(packetBytes),,,4479390,,,,,,,,
General-0-20210506-16:15:18-7390,attr,MulticastNetwork.host1.lo[0].lo,rcvdPkFromHl:sum(packetBytes),interpolationmode,none,,,,,,,,,
General-0-20210506-16:15:18-7390,attr,MulticastNetwork.host1.lo[0].lo,rcvdPkFromHl:sum(packetBytes),source,packetReceivedFromUpper,,,,,,,,,
